,City,Country,Latitude,Longtitude,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,Ponta do Sol,PT,32.6667,-17.1,60.01,77,84,1.01,1613009172
1,Bredasdorp,ZA,-34.5322,20.0403,62.6,94,1,2.3,1613009172
2,Kajaani,FI,64.2273,27.7285,-14.8,76,75,1.14,1613009172
3,Riyadh,SA,24.6877,46.7219,55.4,44,0,2.39,1613009101
4,Faya,SA,18.3851,42.4509,50.0,81,0,1.3,1613009172
5,Vkhodnoy,RU,54.9518,73.1711,-27.4,68,0,4.0,1613009172
6,Avarua,CK,-21.2078,-159.775,86.0,70,100,5.75,1613009172
7,Rikitea,PF,-23.1203,-134.9692,78.6,78,3,14.2,1613008994
8,Ushuaia,AR,-54.8,-68.3,66.2,45,40,13.8,1613009173
9,Ahipara,NZ,-35.1667,173.1667,67.33,67,93,11.9,1613009173
10,Tasiilaq,GL,65.6145,-37.6368,6.8,61,20,4.61,1613009043
11,Dikson,RU,73.5069,80.5464,-22.18,87,2,6.55,1613009173
12,Albany,US,42.6001,-73.9662,21.99,48,100,3.74,1613009173
13,Roald,NO,62.5833,6.1333,23.0,54,0,12.66,1613009173
14,Srednekolymsk,RU,67.45,153.6833,-12.32,88,42,4.25,1613009173
15,Qaanaaq,GL,77.484,-69.3632,10.18,75,98,9.71,1613009173
16,Hilo,US,19.7297,-155.09,78.8,53,75,9.22,1613009122
17,Ōarai,JP,36.3167,140.6,50.0,37,20,3.44,1613009173
18,Khatanga,RU,71.9667,102.5,-21.75,83,1,4.36,1613009173
19,Hingorja,PK,27.2109,68.416,50.0,87,40,3.18,1613009173
20,Hanna,CA,51.6334,-111.9018,-24.0,73,66,4.0,1613009174
21,Margate,GB,51.3813,1.3862,34.0,65,100,1.01,1613009174
22,Narsaq,GL,60.9167,-46.05,33.8,25,20,33.38,1613009174
23,Sirte,LY,31.2089,16.5887,65.01,30,0,18.39,1613009174
24,Scarborough,GB,54.2797,-0.4044,35.01,59,79,3.0,1613009174
25,Yellowknife,CA,62.456,-114.3525,-11.2,77,20,4.61,1613009174
26,San Patricio,US,28.017,-97.5169,60.8,88,90,17.27,1613009026
27,Nanortalik,GL,60.1432,-45.2371,23.47,88,16,11.92,1613009174
28,Conde,BR,-7.2597,-34.9075,78.8,94,75,8.05,1613009174
29,Sinop Province,TR,41.7711,34.8709,46.85,66,1,11.52,1613009174
30,Hobart,AU,-42.8794,147.3294,75.0,40,0,4.61,1613009174
31,San Jerónimo,PE,-11.9472,-75.2829,50.74,74,100,3.44,1613009174
32,Tuktoyaktuk,CA,69.4541,-133.0374,-23.8,69,20,18.41,1613008995
33,Puerto Ayora,EC,-0.7393,-90.3518,75.0,98,82,5.75,1613009008
34,Kahului,US,20.8947,-156.47,75.2,53,40,20.71,1613009175
35,Gijang,KR,35.2442,129.2139,42.8,52,0,5.75,1613009175
36,Coyhaique,CL,-45.5752,-72.0662,69.8,49,99,3.44,1613009175
37,Lebu,CL,-37.6167,-73.65,59.58,94,2,9.1,1613009175
38,Talnakh,RU,69.4865,88.3972,-16.24,80,0,2.93,1613009007
39,Pergamino,AR,-33.89,-60.5736,70.0,79,98,1.01,1613009175
40,Vaini,TO,-21.2,-175.2,86.0,74,40,11.5,1613009175
41,Barrow,US,71.2906,-156.7887,-36.4,85,1,9.22,1613009175
42,Marrakesh,MA,31.6315,-8.0083,53.6,87,0,5.75,1613009175
43,Korla,CN,41.7597,86.1469,34.65,74,100,7.52,1613009015
44,Vitim,RU,59.4511,112.5578,-0.53,90,100,3.18,1613009175
45,Hermanus,ZA,-34.4187,19.2345,69.01,85,7,5.01,1613009175
46,Vostok,RU,46.4856,135.8833,15.69,92,6,2.93,1613009176
47,Kruisfontein,ZA,-34.0033,24.7314,70.0,91,8,0.85,1613009176
48,Hobyo,SO,5.3505,48.5268,77.31,71,100,20.83,1613009016
49,Husavik,IS,66.0449,-17.3389,17.6,86,90,3.44,1613009176
50,Castro,BR,-24.7911,-50.0119,60.49,98,100,7.45,1613008991
